title,published,source,venue,doi,url,pdf_url,score,matched_terms,ai_summary_zh
Governing Self-Evolving Agent Software: A Theory and Industrial Experience Report of In-Repository Delivery Gates,2026-09-24,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22936164,https://doi.org/10.5281/zenodo.22936164,https://doi.org/10.5281/zenodo.22936164,24,self-evolution + agent; self-evolving agent,该研究聚焦自进化智能体软件的治理问题，提出仓库内交付门禁的理论框架，并结合工业实践报告加以说明，旨在为自进化智能体软件的持续演化提供可落地的管控机制与经验参考。
AGI DNA: A Generative Theory of Open-Ended General Intelligence,2026-09-24,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22931418,https://doi.org/10.5281/zenodo.22931418,https://doi.org/10.5281/zenodo.22931418,19,self-evolution + agent; self-improving agents,论文提出面向通用人工智能的生成式研究纲领，将AGI视为可反复生成更强认知系统的生成性约束，而非固定架构，并给出跨尺度“生成—选择—压缩”循环、未来适应潜能诊断向量与双向起源验证方案。
Evo-RAD: Navigating Rare Retinal Disease Diagnosis via Self-evolving Agentic Retrieval,2026-09-24,OpenAlex,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38098-2_26,https://doi.org/10.1007/978-3-032-38098-2_26,https://arxiv.org/pdf/2606.22955,10,self-evolution + agent,Evo-RAD提出一种自进化智能体框架，将罕见视网膜疾病诊断中的证据获取转化为动态决策任务。该方法通过图基智能体在马尔可夫决策过程中执行删除、插入或终止操作，并利用分组相对策略优化与同质性感知奖励训练，显著提升了罕见病诊断性能。
Beyond Endpoint Performance: Process-Level Evaluation of Self-Evolving Agents,2026-09-21,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.24663,https://doi.org/10.48550/arxiv.2609.24663,https://arxiv.org/pdf/2609.24663,36,agent self-evolution; self-evolution + agent; self-evolving agents,自进化智能体将交互反馈转化为记忆或技能等持久化产物，并据此指导后续决策，仅看最终性能难以刻画其能力演化过程。为此提出EvoPathBench基准，固定基础模型与工具，在连续检查点冻结演化产物，用公开交易数据评估未见任务泛化、无关学习后的保持及规则适应三类能力，发现分布偏移下增益常被削弱、保持损失集中于少数演化路径，且候选产物的筛选与评估是主要瓶颈。
SAGEAgent: A Self-evolving Agent for Cost-Aware Modality Acquisition in Multimodal Survival Prediction,2026-09-21,OpenAlex,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38059-3_51,https://doi.org/10.1007/978-3-032-38059-3_51,https://arxiv.org/pdf/2607.09521,24,self-evolution + agent; self-evolving agent,SAGEAgent提出了一种基于自进化大语言模型的临床智能体，通过顺序决策方法在癌症生存预测中平衡诊断准确性与临床侵入性。该智能体利用临床工具、情景记忆和语义记忆，在胶质瘤数据集上实现了竞争性预测精度，同时将平均诊断负担降低55%。
TTSE: A Two-Track Online Self-Evolution Framework,2026-09-21,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.24289,https://doi.org/10.48550/arxiv.2609.24289,https://arxiv.org/pdf/2609.24289,10,self-evolution + agent,提出双轨在线自进化框架TTSE，将智能体演化知识拆分为经交互证据持续验证的环境事实FACT与任务条件下的实现流程TIP，并从决策论角度分解超额风险、界定环境条件策略优于条件无关策略的条件；在GDPevo、ALFWorld、ScienceWorld及SOPBench等基准上验证了双轨演化的优势与广泛兼容性。
SelfOp: An Optimization Algorithm for Self-Improving Security Agents,2026-09-19,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.22792,https://doi.org/10.48550/arxiv.2609.22792,https://arxiv.org/pdf/2609.22792,10,self-evolution + agent,SelfOp面向安全任务中冻结的LLM智能体，将上下文优化建模为链式法则启发的文本梯度下降，从单条执行结果反向传播误差信号，经聚类、排序与过滤累积梯度，并在跨实例共识下更新指令、技能与参考文档。在CyberGym漏洞复现基准上，该方法无需修改模型权重与执行框架，仅用不足200条训练样本即带来显著自我提升，且优化后的技能可跨模型迁移。
VideoResearcher: Self-Improving Tool Design for Long-Video Understanding,2026-09-17,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.19664,https://doi.org/10.48550/arxiv.2609.19664,https://arxiv.org/pdf/2609.19664,21,self-evolution + agent; self-improving agents,VideoResearcher面向长视频理解，提出免训练多智能体框架，通过求解与进化双循环自主设计、测试并优化高影响力视频工具，利用轨迹分析定位能力缺口并复用进化工具强化证据获取，在自改进智能体中达到领先水平。
SoL-Pi: Recursively Scaling Auto-Research Loops for Efficient Agent Harness,2026-09-17,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.20519,https://doi.org/10.48550/arxiv.2609.20519,https://arxiv.org/pdf/2609.20519,15,recursive self-improvement; self-evolution + agent,研究面向全天候自主探索的编码智能体，在harness层递归扩展自动化研究循环，通过多环境rollout筛选出四项可迁移机制，形成SoL-Pi以提升token效率。在EdgeBench上其性能与Pi相当，token流量降低44.7%至49.0%，API成本约降三分之一。
FINSKILLOPS: A Self-Evolving Multi-Agent System for SEC Filing QA,2026-09-17,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.19680,https://doi.org/10.48550/arxiv.2609.19680,https://arxiv.org/pdf/2609.19680,10,self-evolution + agent,提出一种面向SEC财报问答的自进化多智能体系统FinSkillOps，将部署后改进建模为受控行为维护，从带证据的类型化失败诊断中提炼可复用技能，并通过定向验证、保护用例回归检查、负对照及版本化替换或退役进行治理，在六个基准上以冻结技能库取得最高判定加权正确率，并将增强基准正确率从3.70提升至4.55。
Self Improvement via Fast Tree-search,2026-09-17,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.19526,https://doi.org/10.48550/arxiv.2609.19526,https://arxiv.org/pdf/2609.19526,10,self-evolution + agent,提出一种面向编码智能体递归自我修改的样本高效自改进框架SIFT，用LLM评判对候选补丁做成对比较，并以正则化Bradley-Terry模型聚合胜负记录，驱动轻量级分离式树搜索中的排序采样，仅对最有希望的节点执行昂贵的下游任务评估，从而在严格预算下显著提升编码性能并降低资源消耗。
UnifiedPlayers: Enhance Tool-Integrated Reasoning in Agentic Reinforcement Learning,2026-09-17,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.20089,https://doi.org/10.48550/arxiv.2609.20089,https://arxiv.org/pdf/2609.20089,8,self-evolution + agent,提出UnifiedPlayers协作框架，由规划、执行与评估三个角色分别生成任务、产出带Python工具调用的多轮轨迹并构建可执行验证器，配合角色专属奖励在GRPO下协同优化，从而提升工具集成智能体的自进化推理能力。
Self-Evolution Is Not Enough: Toward a Historically Materialist AI for Scientific Problem Solving,2026-09-16,OpenAlex,Knowledge Commons (Lakehead University),https://doi.org/10.17613/nbwxn-gwy59,https://doi.org/10.17613/nbwxn-gwy59,https://doi.org/10.17613/nbwxn-gwy59,21,self-evolution + agent; self-improving agents,近期关于自我改进智能体、进化搜索与自主科学发现的研究，虽拓展了人工系统修正假设、程序、策略乃至自身架构的能力，但自我改进并不等同于历史性自我演化。该研究借助黑格尔辩证法与历史唯物主义，分析发展系统中矛盾的结构性不平等角色，主张将科学问题求解理解为对历史地构成的问题情境的改造，而非在固定目标下优化候选答案，并提出真正自我演化的科学AI需重构问题得以可能的物质与关系条件、辨识约束发展的核心矛盾与派生矛盾，并以干预后可达的研究状态来比较和修正自身对问题的表征。
Position: It is Time to Virtualize Foundation Models with a Self-evolving Operating System Layer,2026-09-16,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.19203,https://doi.org/10.48550/arxiv.2609.19203,https://arxiv.org/pdf/2609.19203,10,self-evolution + agent,论文主张为复合式智能体系统构建基础模型操作系统层，将模型交互虚拟化，使应用获得专用可信且能力近乎无限的模型实例；该层统一编排记忆分层、模型选择、资源分配与策略验证，并像人脑在直觉与审慎间切换那样，依据运行经验持续调整干预策略，实现自我演化。
STRETCH the Boundaries: A Unified Self-Taught Framework for Progressive LLM Evolution,2026-09-16,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.18642,https://doi.org/10.48550/arxiv.2609.18642,https://arxiv.org/pdf/2609.18642,8,self-evolution + agent,提出STRETCH统一自教框架，受认知脚手架理论启发，通过动态拉伸区机制让模型在单一参数空间内交替扮演出题者与学习者，以强化学习协同进化，缓解奖励作弊并推动推理能力持续提升，在谈判与运筹基准上优于强基线。
ScienceBuddy: Recursive-in-Recursive Self-Improvement for Interactive Scientific Agents,2026-09-15,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.17523,https://doi.org/10.48550/arxiv.2609.17523,https://arxiv.org/pdf/2609.17523,19,recursive self-improvement; self-evolution + agent,ScienceBuddy是一个交互式科研工作空间，将请求、反馈与执行证据转化为持续学习任务和评估标准，其核心递归式自我改进范式耦合工具框架演化与模型强化学习，内层固定模型优化框架，外层在改进框架下训练模型，并在四类科学任务上验证。
ThinkFlow: Self-Evolving Probabilistic Latent Memory for Lifelong Conversational Agents,2026-09-15,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.17010,https://doi.org/10.48550/arxiv.2609.17010,https://arxiv.org/pdf/2609.17010,10,self-evolution + agent,提出ThinkFlow端到端潜在记忆框架，将对话流压缩为概率潜在记忆技能，并借助测试时自进化与自监督预测实现无标签终身个性化，在长期多轮对话基准上显著优于现有记忆系统。
"Reflections on Trusting Trust, Revisited: Contaminating Self-Modifying AI Coding Agents with Poisoned Benchmarks",2026-09-15,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.17817,https://doi.org/10.48550/arxiv.2609.17817,https://arxiv.org/pdf/2609.17817,8,self-evolution + agent,论文重新审视Thompson关于编译器可被投毒以植入后门的经典攻击，将其迁移到能自我修改的AI编程智能体场景，研究攻击者能否通过污染基准测试影响智能体的自我评估与自我改进，使未来版本在干净任务上写出含漏洞代码。作者在Darwin Gödel Machine、Self-Improving Coding Agent和Hyperagents三个自进化编程智能体上成功实现概念验证，例如让基于Sonnet 4.5的Hyperagents自我演化出在普通URL抓取任务中禁用HTTPS证书校验的指令，并总结出触发此类基准投毒攻击所需的漏洞、基准、模型与智能体脚手架条件，还发现污染在智能体后续用干净基准演化时往往仍会持续存在。
"Self-Emergence Agent Architecture:Behavior-Inertia HMM, Reflexive Metacognition,and Social-Contrastive Self-Modeling",2026-09-15,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.17331,https://doi.org/10.48550/arxiv.2609.17331,https://arxiv.org/pdf/2609.17331,8,self-evolution + agent,提出自涌现智能体架构SEAA，将隐马尔可夫模型编码的行为惯性、反思式元认知循环与多智能体社会对比三者闭环耦合，使反思输出直接更新状态转移矩阵而非仅存为文本。无语言模型原型显示，初始相同的智能体自发分化出稳定人格，五智能体审议还涌现出共识中心与被一致排斥的离群者，而对照组均无此现象。
ModularRSI: Modular and Generalizable Recursive Harness Self-Improvement,2026-09-14,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.14857,https://doi.org/10.48550/arxiv.2609.14857,https://arxiv.org/pdf/2609.14857,17,recursive self-improvement; self-evolution + agent,提出ModularRSI框架，通过对比同一任务的成功与失败轨迹并跨任务聚合证据，识别可复现的行为缺陷；将可进化执行框架拆分为五个功能模块独立演化，再整合为统一框架，并在与评测基准不相交的2000个外部任务上完成进化，在TB2.0和SWE-Bench Verified的未见任务及跨模型迁移中取得稳定提升。
AlgoEvo: Self-Evolving Agentic Search for Automated Algorithm Discovery,2026-09-14,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.15820,https://doi.org/10.48550/arxiv.2609.15820,https://arxiv.org/pdf/2609.15820,10,self-evolution + agent,提出AlgoEvo统一智能体框架，将自动算法发现转化为可交互、可积累知识的过程，智能体依据运行时反馈动态检查、诊断并修改代码，设计技能中心解耦范式知识，层级经验机制组织搜索轨迹并提炼可复用技能，在六项基准任务上以更少评估和令牌消耗达到或超越专用方法。
EMR: Self-Evolving Medical Multi-Agent System via Experience Mining and Reuse,2026-09-14,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.15161,https://doi.org/10.48550/arxiv.2609.15161,https://arxiv.org/pdf/2609.15161,10,self-evolution + agent,提出EMR自进化医疗多智能体系统，通过分层临床经验库组织知识，在推理中模拟多学科会诊，并自动从推理轨迹中提取正确诊断与失败警示以增量更新经验库，在医疗推理基准上持续优于现有基线。
SkillLift: Learning Dense Rubrics from Sparse Oracles for Efficient Skill Evolution,2026-09-14,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.15396,https://doi.org/10.48550/arxiv.2609.15396,https://arxiv.org/pdf/2609.15396,8,self-evolution + agent,针对基于大语言模型的智能体依赖可复用技能且现有自进化方法受限于每次评估都需完整执行、监督成本高的问题，提出SkillLift，将技能搜索与评估成本解耦，学习与评估对齐的评分准则作为结构化评估空间，通过双层优化交替更新，在复杂任务基准上以更少词元开销超越现有自动技能方法。
"SIA (Self-Improving Agents): A Portable, Host-Agnostic Instruction Framework for Self-Correcting AI Coding Assistants",2026-09-13,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22735691,https://doi.org/10.5281/zenodo.22735691,https://doi.org/10.5281/zenodo.22735691,23,self-evolution + agent; self-improving agents,SIA是一套可移植、与宿主无关的指令框架，用纯Markdown编写指南、人工审批门、结构化反馈和针对具体代码库生成的流程产物，替代固定角色智能体库与厂商插件，使AI编程助手行为更可审查、更少过早收尾。
Recursive Self-Improvement LLM Agents for Inverter Dynamic Model Identification,2026-09-13,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.14260,https://doi.org/10.48550/arxiv.2609.14260,https://arxiv.org/pdf/2609.14260,19,recursive self-improvement; self-evolution + agent,研究面向并网逆变器动态模型辨识，提出将递归自改进大语言模型智能体作为搜索引擎，在标准控制模块类型化词汇与框图语法约束下进行程序搜索，并依据公共耦合点导纳数据拟合参数。基于ThetaEvolve的验证表明，该方法可将朴素开环模型的归一化均方根误差从0.470降至0.0435，并识别出接近真实隐藏控制器的15模块闭环结构。
The Provably Aligned AI Core: A Deterministic Safety Wrapper for Self-Improving Agents,2026-09-12,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22728775,https://doi.org/10.5281/zenodo.22728775,https://doi.org/10.5281/zenodo.22728775,23,self-evolution + agent; self-improving agents,提出了一种确定性安全架构PAAC，通过SMT形式化验证器拦截并检查自改进智能体的每次代码修改，确保所有变更均满足预定义的安全属性，在资源受限条件下仍能保证验证可靠性。该架构首次为递归自我改进提供了可证明安全的实用框架，实验表明其能在120毫秒内阻断后门攻击并允许安全优化。
LIMBO: Lifelong Inference-Time Memory and Budget Optimization for LLM Agents,2026-09-12,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.14138,https://doi.org/10.48550/arxiv.2609.14138,https://arxiv.org/pdf/2609.14138,7,lifelong agents,针对终身智能体在推理时经验回放与检索、推理、工具调用等共享有限提示与算力预算的问题，LIMBO将记忆视为可控的推理时资源，在线单次学习并联合优化每个任务的内存策略与推理预算，无需修改底层智能体或离线重训。在LifelongAgentBench上，它取得优于现有记忆增强基线的成本-精度权衡，最高降低约83%推理成本（平均约53%），并能跨模型与环境自适应。
Diving into Reliable Self-Evolving Agents: A Survey,2026-09-11,OpenAlex,Preprints.org,https://doi.org/10.20944/preprints202609.0913.v1,https://doi.org/10.20944/preprints202609.0913.v1,https://doi.org/10.20944/preprints202609.0913.v1,24,self-evolution + agent; self-evolving agents,该综述围绕自进化Agent的可靠性问题，按自进化深度将其划分为输出级、模型级、脚手架级、改进器级和标准级五个层次，比较各层代表性系统的演化机制、变更对象、持续条件与可靠性挑战，并提出可靠性阶梯，强调可靠自进化不仅取决于进化深度，更取决于评估与监督能否独立于更新过程并覆盖相关任务、条件与约束。
Generalized Agent Iteration: One Formal Framework for Iterative Policy Improvement and Recursive Self-Improvement,2026-09-11,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2609.13406,https://doi.org/10.48550/arxiv.2609.13406,https://arxiv.org/pdf/2609.13406,19,recursive self-improvement; self-evolution + agent,论文提出广义智能体迭代（GAI）形式化框架，将迭代策略改进与递归自我改进统一为同一学习范式的两种情形，并以改进机制是否属于智能体、评价标准是否外在于智能体两个维度区分二者，从而为比较和分析现有系统提供统一坐标。
Architectural Patterns for Self-Improving Intelligent Agents: A Systematic Survey of Generative and Cognitive Approaches,2026-09-11,OpenAlex,SN Computer Science,https://doi.org/10.1007/s42979-026-05333-6,https://doi.org/10.1007/s42979-026-05333-6,,10,self-evolution + agent,该综述聚焦可自我改进的智能体，系统梳理生成式与认知式两类方法所对应的架构模式，并围绕自进化与智能体关键词归纳相关设计思路，为理解此类系统的结构组织提供参考框架。
