title,published,source,venue,doi,url,pdf_url,score,matched_terms,ai_summary_zh
MHGraphRAG: Multimodal Hypergraph-Based Retrieval-Augmented Generation via Community Detection,2026-09-16,OpenAlex,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38410-2_9,https://doi.org/10.1007/978-3-032-38410-2_9,,21,hypergraph + RAG; hypergraph-based retrieval,针对多模态超图检索增强生成，MHGraphRAG结合社区检测方法，探索以超图结构组织多模态知识并支撑检索，关键词显示其聚焦超图与RAG融合及基于超图的检索，来源为Lecture Notes in Computer Science。
LLM-Extracted Temporal Hypergraphs for Modeling Disease Severity and Clinical Trajectories From Clinical Documents (Preprint),2026-09-06,OpenAlex,,https://doi.org/10.2196/preprints.111364,https://doi.org/10.2196/preprints.111364,,12,hypergraphrag,本研究提出4D-HyperGraph框架，利用大语言模型从中文临床文档中提取四维时序信息，构建时序超图以建模慢性阻塞性肺疾病严重程度与临床轨迹。通过超图神经网络实现三分类、急性加重预测及严重程度回归，在251例患者队列中验证了其优于传统知识图谱基线的性能。
Hypergraph-based Multimodal Retrieval-Augmented Generation with Incremental Refinement,2026-08-17,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2608.16628,https://doi.org/10.48550/arxiv.2608.16628,https://arxiv.org/pdf/2608.16628,10,hypergraph + RAG,针对多模态检索增强生成系统受限于简单图二元连接、难以捕捉高阶关联及全页重构冗余的问题，提出Hyper-M2RAG框架。该方法通过多模态超图统一封装文本、图像与表格的多元关联，并引入锚点驱动的增量细化机制，仅重构跨页锚点的局部超拓扑，以最小计算代价弥合知识断层。实验表明，其在检索精度与生成连贯性上显著优于现有方法。
Temporal-spatial reasoning over hypergraph knowledge structures for multimodal retrieval-augmented generation,2026-08-01,OpenAlex,Scientific Reports,https://doi.org/10.1038/s41598-026-63525-9,https://doi.org/10.1038/s41598-026-63525-9,https://www.nature.com/articles/s41598-026-63525-9_reference.pdf,10,hypergraph + RAG,针对现有基于图的检索增强生成系统难以处理多模态查询中的时序、空间及高阶交互问题，提出HyperTSRAG算法，将知识建模为超图并采用二部交替最佳优先遍历，结合语义相似度、时序一致性、空间重叠和结构重要性的评分函数进行显式时空推理。在1000个多模态文档基准上，复杂查询的Recall@10达78.3%，较GraphRAG提升12.3%，时序和空间查询准确率分别为85.2%和81.6%，消融实验验证了各评分组件及原生超图结构的有效性。
HHS-RAG: Hierarchical hypergraph retrieval-augmented generation with hyperbolic contrastive learning and subgraph-level decision,2026-07-29,OpenAlex,Journal of Intelligent Information Systems,https://doi.org/10.1007/s10844-026-01077-0,https://doi.org/10.1007/s10844-026-01077-0,,24,hypergraph + RAG; hypergraph retrieval-augmented generation,针对超图RAG检索增强生成，提出HHS-RAG框架，采用层次超图结构、双曲对比学习及子图级决策机制，以提升复杂关系数据的检索与生成性能。
VizRAG: Enhancing Retrieval-Augmented Generation with Hypergraph Visualization,2026-07-22,OpenAlex,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2607.19830,https://openalex.org/W7170988854,https://arxiv.org/pdf/2607.19830,21,hypergraph + RAG; hypergraph-based rag,VizRAG提出首个支持超图可视化感知的检索增强生成系统，通过将超图视觉表征融入RAG流程，突破现有超图RAG仅依赖文本的单模态限制。实验表明，该方法显著优于强基线模型，验证了超图可视化作为RAG新范式的潜力。
A Knowledge Hypergraph-Based Planning and Reasoning Framework for Retrieval-Augmented Generation,2026-07-17,OpenAlex,"UNSWorks (University of New South Wales, Sydney, Australia)",https://doi.org/10.26190/unsworks/32507,https://doi.org/10.26190/unsworks/32507,https://unsworks.unsw.edu.au/bitstreams/6cb8728e-43a9-47d2-b04b-0b262817573c/download,22,hypergraph + RAG; hypergraphrag,针对现有知识超图RAG方法在静态检索规划、非自适应执行及结构语义利用不足的问题，提出PRoH动态规划与推理框架，通过上下文感知规划、结构化问题分解为有向无环图及实体加权重叠引导的路径检索，在多项域中F1和生成评估得分分别超越先前最优模型19.73%和8.41%。
EvoGraph-R1: Self-Evolving Multimodal Knowledge Hypergraphs for Agentic Retrieval,2026-07-14,OpenAlex,arXiv (Cornell University),,https://openalex.org/W7169474039,https://arxiv.org/pdf/2607.12764,8,hypergraph + RAG,EvoGraph-R1提出一种自演化多模态知识超图框架，将检索过程建模为马尔可夫决策过程，通过智能体动态执行查询、扩展、编辑或终止动作，实现知识图谱的持续演化与错误修正。实验表明，该方法在多模态问答任务中显著提升了准确性、覆盖率和可追溯性。
Optimizing Hypergraph-Based RAG: Toward Better Fact Extraction and Chunk Retrieval,2026-07-02T21:36:54Z,arXiv,cs.AI,https://doi.org/10.48550/arxiv.2607.20506,https://arxiv.org/abs/2607.20506v1,https://arxiv.org/pdf/2607.20506v1,35,hypergraph + RAG; hypergraph-based rag; hypergraphrag,针对超图RAG中LLM事实提取易出错及标准分块检索低效的问题，采用自一致性提示优化提取过程，并利用超图上的个性化PageRank算法增强分块检索，从而提升准确性与效率。
MisEdu-RAG: A Misconception-Aware Dual-Hypergraph RAG for Novice Math Teachers,2026-06-24,OpenAlex,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-29755-6_10,https://doi.org/10.1007/978-3-032-29755-6_10,,24,hypergraph + RAG; hypergraph rag,针对新手数学教师，提出一种名为MisEdu-RAG的误解感知双超图RAG方法，通过构建双超图结构来建模教学中的常见误解，以提升检索增强生成在数学教育中的准确性。
